epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4418.49,0.77427,0.49631,1.17467,0.99531,0.99508,0.99487,0.81405,0.77963,0.31063,1.24531,6.139e-05,6.139e-05,6.139e-05
41,4527.59,0.76834,0.48738,1.17186,0.99461,0.99766,0.9949,0.81354,0.78379,0.3127,1.24792,6.04e-05,6.04e-05,6.04e-05
42,4635.9,0.77485,0.48884,1.16912,0.99441,0.99766,0.99487,0.81609,0.78439,0.31342,1.24853,5.941e-05,5.941e-05,5.941e-05
43,4744.79,0.77651,0.49169,1.17485,0.99551,0.99648,0.99492,0.81746,0.78754,0.31089,1.24597,5.842e-05,5.842e-05,5.842e-05
44,4854.83,0.77122,0.49156,1.17078,0.99707,0.99657,0.99486,0.81381,0.77353,0.30851,1.24221,5.743e-05,5.743e-05,5.743e-05
45,4964.29,0.76595,0.48013,1.16498,0.99597,0.99531,0.99489,0.82108,0.77015,0.30589,1.23848,5.644e-05,5.644e-05,5.644e-05
46,5074.4,0.76562,0.48291,1.16702,0.99463,0.99648,0.99488,0.82418,0.77212,0.30064,1.23846,5.545e-05,5.545e-05,5.545e-05
47,5183.05,0.76057,0.47913,1.16743,0.99529,0.99648,0.99481,0.81821,0.77741,0.30284,1.24576,5.446e-05,5.446e-05,5.446e-05
48,5292.17,0.75942,0.48021,1.16657,0.99765,0.99681,0.99487,0.82013,0.7797,0.30434,1.24353,5.347e-05,5.347e-05,5.347e-05
49,5401.41,0.75852,0.47379,1.1596,0.9962,0.99707,0.99476,0.81957,0.77684,0.29703,1.2409,5.248e-05,5.248e-05,5.248e-05
50,5510.95,0.752,0.4696,1.15816,0.99509,0.99472,0.99489,0.81524,0.79502,0.3071,1.25635,5.149e-05,5.149e-05,5.149e-05
51,5621.26,0.75485,0.46864,1.15865,0.99559,0.99355,0.99486,0.82377,0.77558,0.30731,1.24101,5.05e-05,5.05e-05,5.05e-05
52,5729.46,0.74849,0.4682,1.1536,0.99638,0.9959,0.99489,0.81926,0.77634,0.30236,1.2419,4.951e-05,4.951e-05,4.951e-05
53,5838.59,0.74691,0.46232,1.14949,0.99734,0.99766,0.99493,0.81851,0.76775,0.29638,1.2389,4.852e-05,4.852e-05,4.852e-05
54,5947.01,0.75548,0.46567,1.15623,0.99707,0.99599,0.99493,0.82023,0.77967,0.30033,1.24279,4.753e-05,4.753e-05,4.753e-05
55,6057,0.74771,0.45869,1.1562,0.99765,0.99647,0.99493,0.82233,0.771,0.29676,1.23599,4.654e-05,4.654e-05,4.654e-05
56,6167.31,0.75225,0.46308,1.15998,0.99741,0.99648,0.99494,0.82933,0.76665,0.29784,1.22978,4.555e-05,4.555e-05,4.555e-05
57,6276.44,0.74535,0.45781,1.15545,0.99741,0.99648,0.99492,0.82554,0.77867,0.29901,1.24103,4.456e-05,4.456e-05,4.456e-05
58,6385.58,0.7538,0.45821,1.15619,0.99765,0.99547,0.99489,0.82726,0.76867,0.29722,1.23327,4.357e-05,4.357e-05,4.357e-05
59,6492.97,0.73882,0.45506,1.15273,0.99757,0.99472,0.99486,0.82241,0.77041,0.29998,1.2344,4.258e-05,4.258e-05,4.258e-05
60,6601.73,0.74958,0.45563,1.15739,0.99765,0.99672,0.99492,0.8238,0.76663,0.29469,1.23022,4.159e-05,4.159e-05,4.159e-05
61,6712.21,0.73745,0.45186,1.15042,0.99665,0.99766,0.9949,0.82352,0.7719,0.29072,1.23808,4.06e-05,4.06e-05,4.06e-05
62,6821.76,0.73766,0.4503,1.14716,0.99703,0.99648,0.99489,0.82696,0.76628,0.29109,1.23144,3.961e-05,3.961e-05,3.961e-05
63,6932.68,0.73944,0.45198,1.14638,0.99707,0.99765,0.99489,0.82475,0.76552,0.29043,1.23116,3.862e-05,3.862e-05,3.862e-05
64,7041.41,0.73649,0.44617,1.14633,0.99706,0.99707,0.99489,0.82726,0.76404,0.28829,1.22862,3.763e-05,3.763e-05,3.763e-05
65,7152.41,0.73628,0.45252,1.14722,0.99734,0.9959,0.99491,0.82483,0.76582,0.28909,1.2304,3.664e-05,3.664e-05,3.664e-05
66,7261.28,0.73531,0.44633,1.14657,0.99648,0.99631,0.9949,0.8262,0.76955,0.29101,1.23333,3.565e-05,3.565e-05,3.565e-05
67,7373.31,0.73371,0.44614,1.14294,0.99663,0.99472,0.99486,0.82592,0.76576,0.28981,1.23145,3.466e-05,3.466e-05,3.466e-05
68,7484.02,0.73196,0.44216,1.14772,0.99766,0.99779,0.99487,0.82518,0.76805,0.288,1.2321,3.367e-05,3.367e-05,3.367e-05
69,7595.05,0.73732,0.44257,1.14535,0.99747,0.99707,0.9949,0.82755,0.76353,0.28674,1.2288,3.268e-05,3.268e-05,3.268e-05
70,7704.08,0.72935,0.44631,1.14534,0.99788,0.99766,0.99491,0.83055,0.76439,0.28552,1.22809,3.169e-05,3.169e-05,3.169e-05
71,7815.57,0.72763,0.44131,1.14041,0.99707,0.99745,0.99491,0.831,0.76262,0.28887,1.2273,3.07e-05,3.07e-05,3.07e-05
72,7925.64,0.72983,0.43742,1.14275,0.99721,0.99766,0.9949,0.8297,0.76105,0.28796,1.22621,2.971e-05,2.971e-05,2.971e-05
73,8038.07,0.72265,0.43757,1.13841,0.99732,0.99766,0.99492,0.83087,0.76123,0.28492,1.22706,2.872e-05,2.872e-05,2.872e-05
74,8148.93,0.72795,0.43303,1.1408,0.99731,0.99766,0.9949,0.82879,0.76197,0.28314,1.23098,2.773e-05,2.773e-05,2.773e-05
75,8260.8,0.71767,0.42267,1.13893,0.9964,0.99707,0.99488,0.83039,0.76146,0.28287,1.22771,2.674e-05,2.674e-05,2.674e-05
76,8371.38,0.71973,0.43589,1.14143,0.99588,0.99531,0.99486,0.83247,0.76048,0.28777,1.22753,2.575e-05,2.575e-05,2.575e-05
77,8483.28,0.71526,0.4345,1.13755,0.9963,0.99648,0.99487,0.8296,0.76191,0.28611,1.22745,2.476e-05,2.476e-05,2.476e-05
78,8592.91,0.72206,0.43243,1.13415,0.99775,0.99766,0.99492,0.83112,0.76066,0.28351,1.22592,2.377e-05,2.377e-05,2.377e-05
79,8703.67,0.71233,0.41825,1.13285,0.99802,0.99766,0.99492,0.83128,0.76197,0.28275,1.2273,2.278e-05,2.278e-05,2.278e-05
80,8813.98,0.71814,0.42723,1.1323,0.99788,0.99766,0.99492,0.82898,0.76148,0.28268,1.22938,2.179e-05,2.179e-05,2.179e-05
81,8923.49,0.72159,0.42939,1.13625,0.99805,0.99766,0.99489,0.83141,0.762,0.28326,1.22875,2.08e-05,2.08e-05,2.08e-05
